match_id,date,team_a,team_b,team_a_goals,team_b_goals,winner,is_draw,tournament,stage,city,country,venue,neutral,source,last_updated
1978-06-14-netherlands-austria,1978-06-14,Netherlands,Austria,5.0,1.0,Netherlands,False,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1978-06-14-brazil-peru,1978-06-14,Brazil,Peru,3.0,0.0,Brazil,False,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1978-06-18-argentina-brazil,1978-06-18,Argentina,Brazil,0.0,0.0,Draw,True,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1978-06-18-italy-austria,1978-06-18,Italy,Austria,1.0,0.0,Italy,False,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1978-06-18-poland-peru,1978-06-18,Poland,Peru,1.0,0.0,Poland,False,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1978-06-21-argentina-peru,1978-06-21,Argentina,Peru,6.0,0.0,Argentina,False,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1978-06-21-brazil-poland,1978-06-21,Brazil,Poland,3.0,1.0,Brazil,False,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1978-06-21-netherlands-italy,1978-06-21,Netherlands,Italy,2.0,1.0,Netherlands,False,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1978-06-24-brazil-italy,1978-06-24,Brazil,Italy,2.0,1.0,Brazil,False,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1978-06-25-argentina-netherlands,1978-06-25,Argentina,Netherlands,3.0,1.0,Argentina,False,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1979-10-22-saint-vincent-and-the-grenadines-guadeloupe-cfu-caribbean-cup-qualification,1979-10-22,Saint Vincent and the Grenadines,Guadeloupe,0.0,0.0,Draw,True,CFU Caribbean Cup qualification,,Kingstown,Saint Vincent and the Grenadines,,False,kaggle_international_results,2026-07-05T21:50:39+00:00
1982-06-13-argentina-belgium,1982-06-13,Argentina,Belgium,0.0,1.0,Belgium,False,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1982-06-14-italy-poland,1982-06-14,Italy,Poland,0.0,0.0,Draw,True,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1982-06-15-hungary-el-salvador,1982-06-15,Hungary,El Salvador,10.0,1.0,Hungary,False,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1982-06-15-peru-cameroon,1982-06-15,Peru,Cameroon,0.0,0.0,Draw,True,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1982-06-15-scotland-new-zealand,1982-06-15,Scotland,New Zealand,5.0,2.0,Scotland,False,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1982-06-16-england-france,1982-06-16,England,France,3.0,1.0,England,False,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1982-06-16-spain-honduras,1982-06-16,Spain,Honduras,1.0,1.0,Draw,True,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
