simulation_id,finalist_1,finalist_2,finalist_pair_key,champion,runner_up,semifinalists,fallback_mapping_used
386,Spain,England,England vs Spain,England,Spain,,True
387,Spain,Argentina,Argentina vs Spain,Argentina,Spain,,True
388,Spain,England,England vs Spain,England,Spain,,True
389,Spain,Argentina,Argentina vs Spain,Spain,Argentina,,True
390,Spain,Argentina,Argentina vs Spain,Argentina,Spain,,True
391,Spain,England,England vs Spain,England,Spain,,True
392,Spain,Argentina,Argentina vs Spain,Argentina,Spain,,True
393,Spain,Argentina,Argentina vs Spain,Spain,Argentina,,True
394,Spain,Argentina,Argentina vs Spain,Spain,Argentina,,True
395,Spain,Argentina,Argentina vs Spain,Argentina,Spain,,True
396,Spain,England,England vs Spain,Spain,England,,True
397,Spain,England,England vs Spain,Spain,England,,True
398,Spain,England,England vs Spain,Spain,England,,True
399,Spain,England,England vs Spain,Spain,England,,True
400,Spain,Argentina,Argentina vs Spain,Argentina,Spain,,True
401,Spain,Argentina,Argentina vs Spain,Spain,Argentina,,True
402,Spain,Argentina,Argentina vs Spain,Argentina,Spain,,True
403,Spain,England,England vs Spain,Spain,England,,True
404,Spain,Argentina,Argentina vs Spain,Spain,Argentina,,True
405,Spain,Argentina,Argentina vs Spain,Argentina,Spain,,True
406,Spain,England,England vs Spain,Spain,England,,True
407,Spain,Argentina,Argentina vs Spain,Argentina,Spain,,True
408,Spain,England,England vs Spain,England,Spain,,True
409,Spain,Argentina,Argentina vs Spain,Argentina,Spain,,True
410,Spain,Argentina,Argentina vs Spain,Spain,Argentina,,True
411,Spain,England,England vs Spain,England,Spain,,True
412,Spain,England,England vs Spain,England,Spain,,True
413,Spain,Argentina,Argentina vs Spain,Spain,Argentina,,True
414,Spain,Argentina,Argentina vs Spain,Spain,Argentina,,True
415,Spain,Argentina,Argentina vs Spain,Spain,Argentina,,True
416,Spain,Argentina,Argentina vs Spain,Argentina,Spain,,True
417,Spain,Argentina,Argentina vs Spain,Argentina,Spain,,True
418,Spain,Argentina,Argentina vs Spain,Argentina,Spain,,True
419,Spain,Argentina,Argentina vs Spain,Argentina,Spain,,True
420,Spain,Argentina,Argentina vs Spain,Argentina,Spain,,True
421,Spain,England,England vs Spain,England,Spain,,True
422,Spain,Argentina,Argentina vs Spain,Spain,Argentina,,True
423,Spain,England,England vs Spain,England,Spain,,True
424,Spain,Argentina,Argentina vs Spain,Argentina,Spain,,True
425,Spain,England,England vs Spain,England,Spain,,True
426,Spain,England,England vs Spain,Spain,England,,True
427,Spain,Argentina,Argentina vs Spain,Argentina,Spain,,True
428,Spain,England,England vs Spain,Spain,England,,True
429,Spain,Argentina,Argentina vs Spain,Argentina,Spain,,True
430,Spain,England,England vs Spain,Spain,England,,True
431,Spain,Argentina,Argentina vs Spain,Argentina,Spain,,True
432,Spain,Argentina,Argentina vs Spain,Argentina,Spain,,True
433,Spain,England,England vs Spain,England,Spain,,True
434,Spain,Argentina,Argentina vs Spain,Argentina,Spain,,True
435,Spain,England,England vs Spain,Spain,England,,True
436,Spain,Argentina,Argentina vs Spain,Spain,Argentina,,True
437,Spain,Argentina,Argentina vs Spain,Spain,Argentina,,True
438,Spain,Argentina,Argentina vs Spain,Argentina,Spain,,True
439,Spain,Argentina,Argentina vs Spain,Spain,Argentina,,True
440,Spain,Argentina,Argentina vs Spain,Argentina,Spain,,True
441,Spain,Argentina,Argentina vs Spain,Argentina,Spain,,True
442,Spain,Argentina,Argentina vs Spain,Spain,Argentina,,True
443,Spain,England,England vs Spain,Spain,England,,True
444,Spain,Argentina,Argentina vs Spain,Spain,Argentina,,True
445,Spain,England,England vs Spain,England,Spain,,True
446,Spain,England,England vs Spain,England,Spain,,True
447,Spain,England,England vs Spain,Spain,England,,True
448,Spain,Argentina,Argentina vs Spain,Argentina,Spain,,True
449,Spain,England,England vs Spain,Spain,England,,True
450,Spain,England,England vs Spain,Spain,England,,True
451,Spain,Argentina,Argentina vs Spain,Spain,Argentina,,True
452,Spain,England,England vs Spain,Spain,England,,True
453,Spain,Argentina,Argentina vs Spain,Argentina,Spain,,True
454,Spain,Argentina,Argentina vs Spain,Spain,Argentina,,True
455,Spain,England,England vs Spain,Spain,England,,True
456,Spain,Argentina,Argentina vs Spain,Argentina,Spain,,True
457,Spain,Argentina,Argentina vs Spain,Argentina,Spain,,True
458,Spain,Argentina,Argentina vs Spain,Argentina,Spain,,True
459,Spain,England,England vs Spain,Spain,England,,True
