group,rank,team,team_id,played,wins,draws,losses,goals_for,goals_against,goal_difference,points,form,qualification_status,source,provider,last_updated
GROUP_STAGE,22,Switzerland,788,1,0,1,0,1,1,0,1,,22,football_data_org,football_data_org,2026-07-20T06:04:10+00:00
GROUP_STAGE,23,Uruguay,758,1,0,1,0,1,1,0,1,,23,football_data_org,football_data_org,2026-07-20T06:04:10+00:00
GROUP_STAGE,24,Portugal,765,1,0,1,0,0,0,0,1,,24,football_data_org,football_data_org,2026-07-20T06:04:10+00:00
GROUP_STAGE,25,Congo DR,1934,2,0,1,1,1,2,-1,1,,25,football_data_org,football_data_org,2026-07-20T06:04:10+00:00
GROUP_STAGE,26,Ghana,763,2,0,1,1,1,2,-1,1,,26,football_data_org,football_data_org,2026-07-20T06:04:10+00:00
GROUP_STAGE,27,Austria,816,2,0,1,1,3,5,-2,1,,27,football_data_org,football_data_org,2026-07-20T06:04:10+00:00
GROUP_STAGE,28,South Africa,774,2,0,1,1,1,3,-2,1,,28,football_data_org,football_data_org,2026-07-20T06:04:10+00:00
GROUP_STAGE,29,Australia,779,2,0,1,1,0,2,-2,1,,29,football_data_org,football_data_org,2026-07-20T06:04:10+00:00
GROUP_STAGE,30,Bosnia-Herzegovina,1060,2,0,1,1,2,5,-3,1,,30,football_data_org,football_data_org,2026-07-20T06:04:10+00:00
GROUP_STAGE,31,Sweden,792,2,0,1,1,2,6,-4,1,,31,football_data_org,football_data_org,2026-07-20T06:04:10+00:00
GROUP_STAGE,32,Saudi Arabia,801,2,0,1,1,0,4,-4,1,,32,football_data_org,football_data_org,2026-07-20T06:04:10+00:00
GROUP_STAGE,33,Curaçao,9460,2,0,1,1,1,7,-6,1,,33,football_data_org,football_data_org,2026-07-20T06:04:10+00:00
GROUP_STAGE,34,United States,771,1,0,0,1,2,3,-1,0,,34,football_data_org,football_data_org,2026-07-20T06:04:10+00:00
GROUP_STAGE,35,Czechia,798,1,0,0,1,1,2,-1,0,,35,football_data_org,football_data_org,2026-07-20T06:04:10+00:00
GROUP_STAGE,36,Canada,828,1,0,0,1,1,2,-1,0,,36,football_data_org,football_data_org,2026-07-20T06:04:10+00:00
GROUP_STAGE,37,Germany,759,1,0,0,1,1,2,-1,0,,37,football_data_org,football_data_org,2026-07-20T06:04:10+00:00
GROUP_STAGE,38,Ecuador,791,1,0,0,1,0,1,-1,0,,38,football_data_org,football_data_org,2026-07-20T06:04:10+00:00
GROUP_STAGE,39,Panama,1836,1,0,0,1,0,1,-1,0,,39,football_data_org,football_data_org,2026-07-20T06:04:10+00:00
GROUP_STAGE,40,Jordan,8049,1,0,0,1,1,3,-2,0,,40,football_data_org,football_data_org,2026-07-20T06:04:10+00:00
GROUP_STAGE,41,South Korea,772,2,0,0,2,0,2,-2,0,,41,football_data_org,football_data_org,2026-07-20T06:04:10+00:00
GROUP_STAGE,42,Turkey,803,1,0,0,1,0,2,-2,0,,42,football_data_org,football_data_org,2026-07-20T06:04:10+00:00
GROUP_STAGE,43,Senegal,804,2,0,0,2,3,6,-3,0,,43,football_data_org,football_data_org,2026-07-20T06:04:10+00:00
GROUP_STAGE,44,Tunisia,802,1,0,0,1,1,5,-4,0,,44,football_data_org,football_data_org,2026-07-20T06:04:10+00:00
GROUP_STAGE,45,Haiti,836,2,0,0,2,2,7,-5,0,,45,football_data_org,football_data_org,2026-07-20T06:04:10+00:00
GROUP_STAGE,46,Uzbekistan,8070,2,0,0,2,1,8,-7,0,,46,football_data_org,football_data_org,2026-07-20T06:04:10+00:00
GROUP_STAGE,47,Qatar,8030,2,0,0,2,1,9,-8,0,,47,football_data_org,football_data_org,2026-07-20T06:04:10+00:00
GROUP_STAGE,48,Iraq,8062,2,0,0,2,0,8,-8,0,,48,football_data_org,football_data_org,2026-07-20T06:04:10+00:00
